STT,MaSV,HoTen,NgaySinh,NoiSinh,GioiTinh,MaLop,Email,KhoaHoc,BacDaoTao,LoaiHinhDT,NganhDT,ChuyenNganh,Khoa,TinhTrang
845,SV1677,Ngô Bảo Hương,2004-10-04,Quảng Nam,Nữ,DC01,sv1677@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất học,DC,Đang học
846,SV1678,Dương Mỹ Mai,2005-11-05,Khánh Hòa,Nữ,DC01,sv1678@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất học,DC,Đang học
847,SV1679,Lý Trọng Huy,2006-12-06,Lâm Đồng,Nam,DC01,sv1679@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất học,DC,Đang học
848,SV168,Võ Thị Lan,2005-01-07,Cần Thơ,Nữ,CNTT03,sv168@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Khoa học máy tính,CNTT,Đang học
849,SV1680,Nguyễn Văn An,2002-01-07,TP.HCM,Nam,DC01,sv1680@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất học,DC,Đang học
850,SV1681,Trần Thanh Dung,2003-02-08,Hà Nội,Nữ,DC02,sv1681@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
851,SV1682,Lê Phương Hạnh,2004-03-09,Đà Nẵng,Nữ,DC02,sv1682@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
852,SV1683,Phạm Bảo Linh,2005-04-10,Cần Thơ,Nữ,DC02,sv1683@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
853,SV1684,Hoàng Mỹ Nga,2006-05-11,Đồng Nai,Nữ,DC02,sv1684@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
854,SV1685,Huỳnh Khánh Yến,2002-06-12,Bình Dương,Nữ,DC02,sv1685@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
855,SV1686,Phan Văn Cường,2003-07-13,Long An,Nam,DC02,sv1686@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
856,SV1687,Vũ Quốc Khang,2004-08-14,Tiền Giang,Nam,DC02,sv1687@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
857,SV1688,Võ Phương Lan,2005-09-15,Nghệ An,Nữ,DC02,sv1688@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
858,SV1689,Đặng Thanh Tùng,2006-10-16,Thanh Hóa,Nam,DC02,sv1689@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
859,SV169,Đặng Quốc Tùng,2006-02-08,Đồng Nai,Nam,CNTT03,sv169@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Khoa học máy tính,CNTT,Đang học
860,SV1690,Bùi Gia Khôi,2002-11-17,Hải Phòng,Nam,DC02,sv1690@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
861,SV1691,Đỗ Khánh Bích,2003-12-18,Nam Định,Nữ,DC02,sv1691@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
862,SV1692,Hồ Thị Giang,2004-01-19,Quảng Nam,Nữ,DC02,sv1692@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
863,SV1693,Ngô Quốc Nam,2005-02-20,Khánh Hòa,Nam,DC02,sv1693@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
864,SV1694,Dương Đức Sơn,2006-03-21,Lâm Đồng,Nam,DC02,sv1694@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
865,SV1695,Lý Thanh Huy,2002-04-22,TP.HCM,Nam,DC02,sv1695@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
866,SV1696,Nguyễn Mỹ Anh,2003-05-23,Hà Nội,Nữ,DC02,sv1696@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
867,SV1697,Trần Khánh Dung,2004-06-24,Đà Nẵng,Nữ,DC02,sv1697@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
868,SV1698,Lê Thị Hạnh,2005-07-25,Cần Thơ,Nữ,DC02,sv1698@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
869,SV1699,Phạm Quốc Quân,2006-08-26,Đồng Nai,Nam,DC02,sv1699@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
870,SV170,Bùi Đức Khôi,2002-03-09,Bình Dương,Nam,CNTT03,sv170@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Khoa học máy tính,CNTT,Đang học
871,SV1700,Hoàng Đức Việt,2002-09-27,Bình Dương,Nam,DC02,sv1700@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
872,SV1701,Huỳnh Bảo Yến,2003-10-01,Long An,Nữ,DC02,sv1701@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
873,SV1702,Phan Mỹ Chi,2004-11-02,Tiền Giang,Nữ,DC02,sv1702@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
874,SV1703,Vũ Khánh Hà,2005-12-03,Nghệ An,Nữ,DC02,sv1703@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
875,SV1704,Võ Thị Lan,2006-01-04,Thanh Hóa,Nữ,DC02,sv1704@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
876,SV1705,Đặng Thanh My,2002-02-05,Hải Phòng,Nữ,DC02,sv1705@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
877,SV1706,Bùi Đức Khôi,2003-03-06,Nam Định,Nam,DC02,sv1706@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
878,SV1707,Đỗ Thanh Bình,2004-04-07,Quảng Nam,Nam,DC02,sv1707@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
879,SV1708,Hồ Mỹ Giang,2005-05-08,Khánh Hòa,Nữ,DC02,sv1708@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
880,SV1709,Ngô Trọng Nam,2006-06-09,Lâm Đồng,Nam,DC02,sv1709@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
881,SV171,Đỗ Bảo Bích,2003-04-10,Long An,Nữ,CNTT03,sv171@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Khoa học máy tính,CNTT,Đang học
882,SV1710,Dương Văn Sơn,2002-07-10,TP.HCM,Nam,DC02,sv1710@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
883,SV1711,Lý Thanh Thảo,2003-08-11,Hà Nội,Nữ,DC02,sv1711@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
884,SV1712,Nguyễn Phương Anh,2004-09-12,Đà Nẵng,Nữ,DC02,sv1712@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
885,SV1713,Trần Thanh Dũng,2005-10-13,Cần Thơ,Nam,DC02,sv1713@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
886,SV1714,Lê Gia Long,2006-11-14,Đồng Nai,Nam,DC02,sv1714@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
887,SV1715,Phạm Trọng Quân,2002-12-15,Bình Dương,Nam,DC02,sv1715@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
888,SV1716,Hoàng Thị Nga,2003-01-16,Long An,Nữ,DC02,sv1716@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
889,SV1717,Huỳnh Thanh Yến,2004-02-17,Tiền Giang,Nữ,DC02,sv1717@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
890,SV1718,Phan Phương Chi,2005-03-18,Nghệ An,Nữ,DC02,sv1718@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
891,SV1719,Vũ Thanh Khang,2006-04-19,Thanh Hóa,Nam,DC02,sv1719@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
892,SV172,Hồ Mỹ Giang,2004-05-11,Tiền Giang,Nữ,CNTT03,sv172@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Khoa học máy tính,CNTT,Đang học
893,SV1720,Võ Gia Phong,2002-05-20,Hải Phòng,Nam,DC02,sv1720@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
894,SV1721,Đặng Khánh My,2003-06-21,Nam Định,Nữ,DC02,sv1721@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
895,SV1722,Bùi Thị Trang,2004-07-22,Quảng Nam,Nữ,DC02,sv1722@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
896,SV1723,Đỗ Thanh Bích,2005-08-23,Khánh Hòa,Nữ,DC02,sv1723@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
897,SV1724,Hồ Phương Giang,2006-09-24,Lâm Đồng,Nữ,DC02,sv1724@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
898,SV1725,Ngô Bảo Hương,2002-10-25,TP.HCM,Nữ,DC02,sv1725@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
899,SV1726,Dương Gia Sơn,2003-11-26,Hà Nội,Nam,DC02,sv1726@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
900,SV1727,Lý Trọng Huy,2004-12-27,Đà Nẵng,Nam,DC02,sv1727@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
901,SV1728,Nguyễn Thị Anh,2005-01-01,Cần Thơ,Nữ,DC02,sv1728@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
902,SV1729,Trần Quốc Dũng,2006-02-02,Đồng Nai,Nam,DC02,sv1729@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
903,SV173,Ngô Trọng Nam,2005-06-12,Nghệ An,Nam,CNTT03,sv173@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Khoa học máy tính,CNTT,Đang học
904,SV1730,Lê Đức Long,2002-03-03,Bình Dương,Nam,DC02,sv1730@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
905,SV1731,Phạm Bảo Linh,2003-04-04,Long An,Nữ,DC02,sv1731@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
906,SV1732,Hoàng Mỹ Nga,2004-05-05,Tiền Giang,Nữ,DC02,sv1732@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
907,SV1733,Huỳnh Trọng Đạt,2005-06-06,Nghệ An,Nam,DC02,sv1733@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
908,SV1734,Phan Văn Cường,2006-07-07,Thanh Hóa,Nam,DC02,sv1734@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
909,SV1735,Vũ Quốc Khang,2002-08-08,Hải Phòng,Nam,DC02,sv1735@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
910,SV1736,Võ Phương Lan,2003-09-09,Nam Định,Nữ,DC02,sv1736@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
911,SV1737,Đặng Bảo My,2004-10-10,Quảng Nam,Nữ,DC02,sv1737@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
912,SV1738,Bùi Mỹ Trang,2005-11-11,Khánh Hòa,Nữ,DC02,sv1738@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
913,SV1739,Đỗ Trọng Bình,2006-12-12,Lâm Đồng,Nam,DC02,sv1739@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
914,SV174,Dương Văn Sơn,2006-07-13,Thanh Hóa,Nam,CNTT03,sv174@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Khoa học máy tính,CNTT,Đang học
915,SV1740,Hồ Văn Hải,2002-01-13,TP.HCM,Nam,DC02,sv1740@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
916,SV1741,Ngô Thanh Hương,2003-02-14,Hà Nội,Nữ,DC02,sv1741@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
917,SV1742,Dương Phương Mai,2004-03-15,Đà Nẵng,Nữ,DC02,sv1742@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
918,SV1743,Lý Bảo Thảo,2005-04-16,Cần Thơ,Nữ,DC02,sv1743@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
919,SV1744,Nguyễn Mỹ Anh,2006-05-17,Đồng Nai,Nữ,DC02,sv1744@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
920,SV1745,Trần Khánh Dung,2002-06-18,Bình Dương,Nữ,DC02,sv1745@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
921,SV1746,Lê Văn Long,2003-07-19,Long An,Nam,DC02,sv1746@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
922,SV1747,Phạm Quốc Quân,2004-08-20,Tiền Giang,Nam,DC02,sv1747@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
923,SV1748,Hoàng Phương Nga,2005-09-21,Nghệ An,Nữ,DC02,sv1748@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
924,SV1749,Huỳnh Thanh Đạt,2006-10-22,Thanh Hóa,Nam,DC02,sv1749@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
925,SV175,Lý Quốc Huy,2002-08-14,Hải Phòng,Nam,CNTT03,sv175@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Khoa học máy tính,CNTT,Đang học
926,SV1750,Phan Gia Cường,2002-11-23,Hải Phòng,Nam,DC02,sv1750@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
927,SV1751,Vũ Khánh Hà,2003-12-24,Nam Định,Nữ,DC02,sv1751@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
928,SV1752,Võ Thị Lan,2004-01-25,Quảng Nam,Nữ,DC02,sv1752@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
929,SV1753,Đặng Quốc Tùng,2005-02-26,Khánh Hòa,Nam,DC02,sv1753@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
930,SV1754,Bùi Đức Khôi,2006-03-27,Lâm Đồng,Nam,DC02,sv1754@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
931,SV1755,Đỗ Thanh Bình,2002-04-01,TP.HCM,Nam,DC02,sv1755@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
932,SV1756,Hồ Mỹ Giang,2003-05-02,Hà Nội,Nữ,DC02,sv1756@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
933,SV1757,Ngô Khánh Hương,2004-06-03,Đà Nẵng,Nữ,DC02,sv1757@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
934,SV1758,Dương Thị Mai,2005-07-04,Cần Thơ,Nữ,DC02,sv1758@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
935,SV1759,Lý Quốc Huy,2006-08-05,Đồng Nai,Nam,DC02,sv1759@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
936,SV176,Nguyễn Phương Anh,2003-09-15,Nam Định,Nữ,CNTT03,sv176@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Khoa học máy tính,CNTT,Đang học
937,SV1760,Nguyễn Đức An,2002-09-06,Bình Dương,Nam,DC02,sv1760@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa chất môi trường,DC,Đang học
938,SV1761,Trần Bảo Dung,2003-10-07,Long An,Nữ,DC03,sv1761@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
939,SV1762,Lê Mỹ Hạnh,2004-11-08,Tiền Giang,Nữ,DC03,sv1762@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
940,SV1763,Phạm Khánh Linh,2005-12-09,Nghệ An,Nữ,DC03,sv1763@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
941,SV1764,Hoàng Thị Nga,2006-01-10,Thanh Hóa,Nữ,DC03,sv1764@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
942,SV1765,Huỳnh Thanh Yến,2002-02-11,Hải Phòng,Nữ,DC03,sv1765@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
943,SV1766,Phan Đức Cường,2003-03-12,Nam Định,Nam,DC03,sv1766@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
944,SV1767,Vũ Thanh Khang,2004-04-13,Quảng Nam,Nam,DC03,sv1767@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
945,SV1768,Võ Mỹ Lan,2005-05-14,Khánh Hòa,Nữ,DC03,sv1768@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
946,SV1769,Đặng Trọng Tùng,2006-06-15,Lâm Đồng,Nam,DC03,sv1769@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
947,SV177,Trần Bảo Dung,2004-10-16,Quảng Nam,Nữ,CNTT03,sv177@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Khoa học máy tính,CNTT,Đang học
948,SV1770,Bùi Văn Khôi,2002-07-16,TP.HCM,Nam,DC03,sv1770@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
949,SV1771,Đỗ Thanh Bích,2003-08-17,Hà Nội,Nữ,DC03,sv1771@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
950,SV1772,Hồ Phương Giang,2004-09-18,Đà Nẵng,Nữ,DC03,sv1772@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
951,SV1773,Ngô Thanh Nam,2005-10-19,Cần Thơ,Nam,DC03,sv1773@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
952,SV1774,Dương Gia Sơn,2006-11-20,Đồng Nai,Nam,DC03,sv1774@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
953,SV1775,Lý Trọng Huy,2002-12-21,Bình Dương,Nam,DC03,sv1775@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
954,SV1776,Nguyễn Thị Anh,2003-01-22,Long An,Nữ,DC03,sv1776@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
955,SV1777,Trần Thanh Dung,2004-02-23,Tiền Giang,Nữ,DC03,sv1777@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
956,SV1778,Lê Phương Hạnh,2005-03-24,Nghệ An,Nữ,DC03,sv1778@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
957,SV1779,Phạm Thanh Quân,2006-04-25,Thanh Hóa,Nam,DC03,sv1779@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
958,SV178,Lê Mỹ Hạnh,2005-11-17,Khánh Hòa,Nữ,CNTT03,sv178@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Khoa học máy tính,CNTT,Đang học
959,SV1780,Hoàng Gia Việt,2002-05-26,Hải Phòng,Nam,DC03,sv1780@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
960,SV1781,Huỳnh Khánh Yến,2003-06-27,Nam Định,Nữ,DC03,sv1781@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
961,SV1782,Phan Thị Chi,2004-07-01,Quảng Nam,Nữ,DC03,sv1782@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
962,SV1783,Vũ Thanh Hà,2005-08-02,Khánh Hòa,Nữ,DC03,sv1783@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
963,SV1784,Võ Phương Lan,2006-09-03,Lâm Đồng,Nữ,DC03,sv1784@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
964,SV1785,Đặng Bảo My,2002-10-04,TP.HCM,Nữ,DC03,sv1785@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
965,SV1786,Bùi Gia Khôi,2003-11-05,Hà Nội,Nam,DC03,sv1786@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
966,SV1787,Đỗ Trọng Bình,2004-12-06,Đà Nẵng,Nam,DC03,sv1787@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
967,SV1788,Hồ Thị Giang,2005-01-07,Cần Thơ,Nữ,DC03,sv1788@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
968,SV1789,Ngô Quốc Nam,2006-02-08,Đồng Nai,Nam,DC03,sv1789@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
969,SV179,Phạm Trọng Quân,2006-12-18,Lâm Đồng,Nam,CNTT03,sv179@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Khoa học máy tính,CNTT,Đang học
970,SV1790,Dương Đức Sơn,2002-03-09,Bình Dương,Nam,DC03,sv1790@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
971,SV1791,Lý Bảo Thảo,2003-04-10,Long An,Nữ,DC03,sv1791@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
972,SV1792,Nguyễn Mỹ Anh,2004-05-11,Tiền Giang,Nữ,DC03,sv1792@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
973,SV1793,Trần Trọng Dũng,2005-06-12,Nghệ An,Nam,DC03,sv1793@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
974,SV1794,Lê Văn Long,2006-07-13,Thanh Hóa,Nam,DC03,sv1794@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
975,SV1795,Phạm Quốc Quân,2002-08-14,Hải Phòng,Nam,DC03,sv1795@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
976,SV1796,Hoàng Phương Nga,2003-09-15,Nam Định,Nữ,DC03,sv1796@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
977,SV1797,Huỳnh Bảo Yến,2004-10-16,Quảng Nam,Nữ,DC03,sv1797@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
978,SV1798,Phan Mỹ Chi,2005-11-17,Khánh Hòa,Nữ,DC03,sv1798@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
979,SV1799,Vũ Trọng Khang,2006-12-18,Lâm Đồng,Nam,DC03,sv1799@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
980,SV180,Hoàng Văn Việt,2002-01-19,TP.HCM,Nam,CNTT03,sv180@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Khoa học máy tính,CNTT,Đang học
981,SV1800,Võ Văn Phong,2002-01-19,TP.HCM,Nam,DC03,sv1800@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
982,SV1801,Đặng Thanh My,2003-02-20,Hà Nội,Nữ,DC03,sv1801@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
983,SV1802,Bùi Phương Trang,2004-03-21,Đà Nẵng,Nữ,DC03,sv1802@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
984,SV1803,Đỗ Bảo Bích,2005-04-22,Cần Thơ,Nữ,DC03,sv1803@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
985,SV1804,Hồ Mỹ Giang,2006-05-23,Đồng Nai,Nữ,DC03,sv1804@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
986,SV1805,Ngô Khánh Hương,2002-06-24,Bình Dương,Nữ,DC03,sv1805@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
987,SV1806,Dương Văn Sơn,2003-07-25,Long An,Nam,DC03,sv1806@student.edu.vn,2022-2026,Đại học,Chính quy,Địa chất,Địa kỹ thuật,DC,Đang học
